Graph_No	ID	Type	Implementation	HMM_threshold	enzyme_long	function_input	function_output	HMM_source	enzyme_ref	kegg_ortholog	Comment
21.6	sat	HMM	TIGR00339.hmm	181.80|full	sulfate adenylyltransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00958	
22.1	aprA	HMM	aprA.hmm	641.75|full	adenylylsulfate reductase. subunit A	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00394	
22.2	sat	HMM	TIGR00339.hmm	181.80|full	sulfate adenylyltransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00958	
23.1	asrC	HMM	asrC.hmm	324.10|full	anaerobic sulfite reductase subunit C	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00385	
23.2	dsrA	HMM	dsrA.hmm	200.00|full	dissimilatory sulfite reductase alpha subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K11180	
23.3	dsrB	HMM	dsrB.hmm	204.00|full	dissimilatory sulfite reductase beta subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K11181	
23.4	asrA	HMM	asrA.hmm	323.15|full	anaerobic sulfite reductase subunit A	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16950	
23.5	asrB	HMM	asrB.hmm	288.60|full	anaerobic sulfite reductase subunit B	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16951	
23.6	dsrD	HMM	dsrD.hmm	32.80|full	dissimilatory sulfite reductase delta subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		NOT LISTED IN KEGG	
24.1	sor	HMM	K16952.hmm	363.87|full	sulfur oxygenase/reductase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16952	
24.2	sreA	HMM	K17219.hmm	1889.97|full	sulfur reductase molybdopterin subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17219	
24.3	sreB	HMM	K17220.hmm	474.53|full	sulfur reductase FeS subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17220	
24.4	sreC	HMM	K17221.hmm	288.03|full	sulfur reductase membrane anchor	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17221	
25.1	psrB	HMM	K16293.hmm	266.90|full	polysulfide reductase chain B	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16293	
25.2	psrC	HMM	K16294.hmm	305.90|full	polysulfide reductase chain C	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16294	
25.3	hydG	HMM	K17995.hmm	451.47|full	sulfhydrogenase subunit gamma (sulfur reductase)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17995	
25.4	hydB	HMM	K17996.hmm	398.57|full	sulfhydrogenase subunit beta (sulfur reductase)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17996	
26.1	sqr	HMM	sulfide_quinone_oxidoreductase_sqr.hmm	300|full	sulfide:quinone oxidoreductase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17218	
26.2	fccB	HMM	PF09242.hmm	266|full	flavocytochrome c sulphide dehydrogenase. flavin-binding	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17229	
27.1	sor	HMM	PF07682.hmm	300|full	sulfur oxygenase/reductase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16952	
27.2	sdo	HMM	sulfur_dioxygenase_sdo.hmm	300|full	sulfur dioxygenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17725	
28.1	soxA	HMM	soxA.hmm	110.00|full	L-cysteine S-thiosulfotransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17222	
28.2	soxX	HMM	soxX.hmm	61.00|full	L-cysteine S-thiosulfotransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17223	
28.3	soxY	HMM	soxY.hmm	125.00|full	sulfur-oxidizing protein SoxY	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17226	
28.4	soxZ	HMM	soxZ.hmm	76.00|full	sulfur-oxidizing protein SoxZ	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17227	
28.5	soxD	HMM	soxD.hmm	90.00|full	S-disulfanyl-L-cysteine oxidoreductase SoxD	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K22622	
28.6	soxC	HMM	soxC.hmm	320.00|full	sulfane dehydrogenase subunit SoxC	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17225	
29.1	soxA	HMM	soxA.hmm	110.00|full	L-cysteine S-thiosulfotransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17222	
29.2	soxX	HMM	soxX.hmm	61.00|full	L-cysteine S-thiosulfotransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17223	
29.3	soxY	HMM	soxY.hmm	125.00|full	sulfur-oxidizing protein SoxY	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17226	
29.4	soxZ	HMM	soxZ.hmm	76.00|full	sulfur-oxidizing protein SoxZ	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17227	
29.5	soxD	HMM	soxD.hmm	90.00|full	S-disulfanyl-L-cysteine oxidoreductase SoxD	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K22622	
29.6	soxC	HMM	soxC.hmm	320.00|full	sulfane dehydrogenase subunit SoxC	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17225	
30.1	phsA	HMM	thiosulfate_reductase_phsA.hmm	323|full	thiosulfate reductase / polysulfide reductase chain A	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K08352	
31.1	aprA	HMM	aprA.hmm	641.75|full	adenylylsulfate reductase. subunit A	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00394	
31.2	sat	HMM	TIGR00339.hmm	181.80|full	sulfate adenylyltransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00958	
32.1	arrA	HMM	arrA.hmm	175|full	dissimilatory arsenate reductase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K28466	
33.1	aioA	HMM	aioA.hmm	800|full	arsenite oxidase large subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K08356	
33.2	arxA	HMM	arxA.hmm	600|full	arsenite oxidase (molybdopterin subunit)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K08356. K08355	
34.1	hupL	HMM	hydrogenase_NiFeGroup1a.hmm	574|domain	hydrogenase [NiFe] 1a	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
34.2	hynB	HMM	hydrogenase_NiFeGroup1b.hmm	799|domain	hydrogenase [NiFe] 1b	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
34.3	CymA	HMM	CymA.hmm	237|full	CymA (tetrahaem cytochrome c) is a member of the NapC/NirT family	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.1042/BJ20120197	(napC) K02569 (cymA absent)	CymA transfers electrons from menaquinol to various dedicated systems for the reduction of terminal electron acceptors including fumarate and insoluble minerals of Fe(III). The Kegg ortholog is for the NapC/NirT family. including cymA. but not only cymA specifically. The publication https://www.doi.org/10.1099/mic.0.000285 shows that NapC and cycA do NOT have the same function. 
34.4	DFE_0450	HMM	DFE_0450.hmm	30|full	cytochrome omcS-like	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		NOT LISTED IN KEGG	kegg identifier (not ortholog): GEO60473_04720. OmcS also functions in direct inter-species electron transfer (https://doi.org/10.1038/s41396-018-0193-y)
34.5	DFE_0464	HMM	DFE_0464.hmm	25|full	cytochrome omcS-like	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		NOT LISTED IN KEGG	
34.6	MtrA	HMM	MtrA.hmm	140|full	Extracelllular iron oxide respiratory system periplasmic decaheme cytochrome c component 	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K28380	
34.7	MtrB	HMM	MtrB_TIGR03509.hmm	240.05|full	Tetrahydromethanopterin S-methyltransferase subunit B	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K28381	
34.8	MtrC	HMM	MtrC_TIGR03507.hmm	209.3|full	Tetrahydromethanopterin S-methyltransferase subunit C	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		(?) K28382	
34.9	Ndh2	HMM	Ndh2.hmm	40|full	Type II NADH dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K05573	
34.10	OmcF	HMM	OmcF.hmm	83.7|full	Outer-membrane multiheme c-type cytochrome OmcF	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K08906	
34.11	OmcS	HMM	OmcS.hmm	78.2|full	Outer-membrane multiheme c-type cytochrome OmcS	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		NOT LISTED IN KEGG	
34.12	OmcZ	HMM	OmcZ.hmm	76.9|full	Extracellular multiheme c-type cytochrome OmcZ	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		NOT LISTED IN KEGG	
35.1	CymA	HMM	CymA.hmm	237|full	CymA (tetrahaem cytochrome c) is a member of the NapC/NirT family	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.1042/BJ20120197	(napC) K02569 (cymA absent)	CymA transfers electrons from menaquinol to various dedicated systems for the reduction of terminal electron acceptors including fumarate and insoluble minerals of Fe(III). The Kegg ortholog is for the NapC/NirT family. including cymA. but not only cymA specifically. The publication https://www.doi.org/10.1099/mic.0.000285 shows that NapC and cycA do NOT have the same function. 
35.2	DFE_0450	HMM	DFE_0450.hmm	30|full	cytochrome omcS-like	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		NOT LISTED IN KEGG	kegg identifier (not ortholog): GEO60473_04720. OmcS also functions in direct inter-species electron transfer (https://doi.org/10.1038/s41396-018-0193-y)
35.3	DFE_0464	HMM	DFE_0464.hmm	25|full	cytochrome omcS-like	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		NOT LISTED IN KEGG	
35.4	MtrA	HMM	MtrA.hmm	140|full	Extracelllular iron oxide respiratory system periplasmic decaheme cytochrome c component 	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K28380	
35.5	MtrB	HMM	MtrB_TIGR03509.hmm	240.05|full	Tetrahydromethanopterin S-methyltransferase subunit B	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K28381	
35.6	MtrC	HMM	MtrC_TIGR03507.hmm	209.3|full	Tetrahydromethanopterin S-methyltransferase subunit C	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		(?) K28382	
35.7	Ndh2	HMM	Ndh2.hmm	40|full	Type II NADH dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K05573	
35.8	OmcF	HMM	OmcF.hmm	83.7|full	Outer-membrane multiheme c-type cytochrome OmcF	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K08906	
35.9	OmcS	HMM	OmcS.hmm	78.2|full	Outer-membrane multiheme c-type cytochrome OmcS	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		NOT LISTED IN KEGG	
35.10	OmcZ	HMM	OmcZ.hmm	76.9|full	Extracellular multiheme c-type cytochrome OmcZ	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		NOT LISTED IN KEGG	
36.1	MnxG	HMM	NF041487.hmm	3100|domain	Multicopper oxidase. manganese(II)-oxidizing protein MnxG	NA	NA	https://www.ncbi.nlm.nih.gov/genome/annotation_prok/evidence/NF041487/	https://doi.org/10.1042/BST20120229	K22349	mn oxidation often needs oxygen. but recent findings suggest that it is also possible in anaerobic environments. 
37.1	Cyc1	HMM	Cyc1.hmm	98|full	"cytochrome c4 (c552) of Thiobacillus
Ferrooxidans"	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		NOT LISTED IN KEGG	
37.2	Cyc2_rc1	HMM	Cyc2_repCluster1.hmm	31.5|full	cytochrome-porin proteins	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K20150	
37.3	Cyc2_rc2	HMM	Cyc2_repCluster2.hmm	27.8|full	cytochrome-porin proteins	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K20150	
37.4	Cyc2_rc3	HMM	Cyc2_repCluster3.hmm	27.3|full	cytochrome-porin proteins	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K20150	
37.5	FoxA	HMM	FoxA.hmm	128|full	Outer-membrane iron(II)-oxidizing cytochrome (putative)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.1111/1462-2920.15727	NOT LISTED IN KEGG	
37.6	FoxB	HMM	FoxB.hmm	66|full	Inner-membrane electron-transfer protein (cytochrome b-like)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.1111/1462-2920.15727	NOT LISTED IN KEGG	FoxB is annotated in some genome databases as K02275 because of shared motifs with cytochrome c oxidase subunit II. but this KO reflects general oxidase function. not the specialized iron oxidation role of FoxB in the fox cluster.
37.7	FoxC	HMM	FoxC.hmm	62|full	Iron oxidation accessory protein	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.1111/1462-2920.15727	NOT LISTED IN KEGG	
37.8	FoxE	HMM	FoxE.hmm	37|full	Periplasmic diheme c-type cytochrome	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.1111/1462-2920.15727	NOT LISTED IN KEGG	
37.9	FoxY	HMM	FoxY.hmm	124|full	Quinone-interacting electron-transfer protein	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.1111/1462-2920.15727	NOT LISTED IN KEGG	
37.10	FoxZ	HMM	FoxZ.hmm	150|full	Electron-transfer accessory protein	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.1111/1462-2920.15727	NOT LISTED IN KEGG	
37.11	MtoA	HMM	MtoA.hmm	140|full	Decaheme c-Type Cytochrome	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K28380	
37.12	soxE	HMM	sulfocyanin.hmm	45.4|full	sulfocyanin	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.1016/S0014-5793(00)02343-7	NOT LISTED IN KEGG	
38.1	hynB	HMM	hydrogenase_NiFeGroup1b.hmm	799|domain	hydrogenase [NiFe] 1b	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
38.2	hybC	HMM	hydrogenase_NiFeGroup1c.hmm	785|domain	hydrogenase [NiFe] 1c	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
38.3	nirB	HMM	TIGR02374.hmm	442.75|full	Nitrite reductase (NADH). large subunit (NirB)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.3389/fmolb.2021.667758	K00362	
38.4	nirD	HMM	TIGR02378.hmm	69.85|full	Nitrite reductase (NADH). small subunit (NirD)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.3389/fmolb.2021.667758	K00363	
38.5	nas	HMM	NF041323.hmm	1000|domain	Assimilatory nitrate reductase (NAD(P)H-dependent). large subunit (Nas)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.3389/fmolb.2021.667758	K00372	
38.6	nirK	HMM	TIGR02376.hmm	169.10|full	nitrite reductase (NO-forming)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00368	
38.7	nirS	HMM	nitrite_reductase_nirS.hmm	200|full	nitrite reductase (NO-forming) / hydroxylamine reductase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K15864	
38.8	octR	HMM	TIGR04315.hmm	325.00|full	nitrite reductase (Octaheme c-type cytochrome Shewanella-type)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		NOT LISTED IN KEGG	
38.9	norC	HMM	nitric_oxide_reductase_norC.hmm	50|full	nitric oxide reductase subunit C	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K02305	
38.10	norB	HMM	nitric_oxide_reductase_norB.hmm	79|full	nitric oxide reductase subunit B	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K04561	
38.11	nosD	HMM	PF05048.hmm	290|full	nitrous oxidase accessory protein	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00376	
38.12	nosZ	HMM	TIGR04246.hmm	550.00|full	nitrous-oxide reductase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00376	
39.1	nirB	HMM	TIGR02374.hmm	442.75|full	Nitrite reductase (NADH). large subunit (NirB)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.3389/fmolb.2021.667758	K00362	
39.2	nirD	HMM	TIGR02378.hmm	69.85|full	Nitrite reductase (NADH). small subunit (NirD)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.3389/fmolb.2021.667758	K00363	
39.3	nas	HMM	NF041323.hmm	1000|domain	Assimilatory nitrate reductase (NAD(P)H-dependent). large subunit (Nas)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.3389/fmolb.2021.667758	K00372	
40.1	narG	HMM	TIGR01580.hmm	600.95|full	nitrate reductase / nitrite oxidoreductase. alpha subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00370	
40.2	narH	HMM	TIGR01660.hmm	348.00|full	nitrate reductase / nitrite oxidoreductase. beta subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00371	
40.3	napA	HMM	TIGR01706.hmm	472.50|full	periplasmic nitrate reductase NapA	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K02567	
40.4	napB	HMM	PF03892.hmm	23.9|full	cytochrome c-type protein NapB	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K02568	
40.5	nrfD	HMM	TIGR03148.hmm	300.15|full	cytochrome c nitrite reductase. NrfD subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.1016/B978-044452857-5.50008-4	K04015	
41.1	amoA	HMM	amoA.hmm	160.90|full	methane/ammonia monooxygenase subunit A	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K10944	
41.2	amoB	HMM	amoB.hmm	156.70|full	methane/ammonia monooxygenase subunit B	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K10945	
41.3	amoC	HMM	amoC.hmm	136.27|full	methane/ammonia monooxygenase subunit C	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K10946	
42.1	nxrA	HMM	nitrite_oxidoreductase_nxrA.hmm	370|full	nitrate reductase / nitrite oxidoreductase. alpha subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00370	
42.2	nxrB	HMM	nitrite_oxidoreductase_nxrB.hmm	252|full	nitrate reductase / nitrite oxidoreductase. beta subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00371	
43.1	nirK	HMM	TIGR02376.hmm	169.10|full	nitrite reductase (NO-forming)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00368	
43.2	nirS	HMM	nitrite_reductase_nirS.hmm	200|full	nitrite reductase (NO-forming) / hydroxylamine reductase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K15864	
43.3	octR	HMM	TIGR04315.hmm	325.00|full	nitrite reductase (Octaheme c-type cytochrome Shewanella-type)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		NOT LISTED IN KEGG	
44.1	nod	HMM	nod.hmm	120|domain	Nitric oxide dismutase 	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K27148	
45.1	norC	HMM	nitric_oxide_reductase_norC.hmm	50|full	nitric oxide reductase subunit C	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K02305	
45.2	norB	HMM	nitric_oxide_reductase_norB.hmm	79|full	nitric oxide reductase subunit B	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K04561	
46.1	nosD	HMM	PF05048.hmm	290|full	nitrous oxidase accessory protein	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00376	
46.2	nosZ	HMM	TIGR04246.hmm	550.00|full	nitrous-oxide reductase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00376	
47.1	hzsA	HMM	hydrazine_synthase_hzsA.hmm	466|full	hydrazine synthase subunit. alpha subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K20932	
47.2	hzoA	HMM	hydrazine_oxidase_hzoA.hmm	325|full	hydroxylamine dehydrogenase. alpha subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K20935	
48.1	nirB	HMM	TIGR02374.hmm	442.75|full	Nitrite reductase (NADH). large subunit (NirB)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.3389/fmolb.2021.667758	K00362	
48.2	nirD	HMM	TIGR02378.hmm	69.85|full	Nitrite reductase (NADH). small subunit (NirD)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.3389/fmolb.2021.667758	K00363	
48.3	nrfA	HMM	PF02335.hmm	57|full	nitrite reductase (cytochrome c-552)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K03385	
48.4	nrfD	HMM	TIGR03148.hmm	300.15|full	cytochrome c nitrite reductase. NrfD subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K04015	
48.5	nrfH	HMM	TIGR03153.hmm	75.30|full	cytochrome c nitrite reductase small subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K15876	
49.1	gcd	HMM	K00117.hmm	813.63|full	Quinoprotein glucose dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00117	
49.2	ppk1	HMM	K00937.hmm	254.43|full	Polyphosphate kinase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00937	
49.3	ppa	HMM	K01507.hmm	19.27|domain	Inorganic pyrophosphatase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K01507	
49.4	ppx	HMM	K01514.hmm	307.80|domain	Exopolyphosphatase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K01514	
49.5	pqqC	HMM	K06137.hmm	99.03|full	Pyrroloquinoline quinone synthase C	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K06137	
50.1	anfG	HMM	TIGR02929.hmm	124.50|full	nitrogenase iron-iron protein. delta subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00531	
50.2	nifD	HMM	TIGR01282.hmm	503.05|full	nitrogenase molybdenum-iron protein alpha chain	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K02586	
50.3	nifH	HMM	TIGR01287.hmm	261.05|full	nitrogenase iron protein	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K02588	
50.4	nifK	HMM	TIGR01286.hmm	414.50|full	nitrogenase molybdenum-iron protein beta chain	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K02591	
50.5	vnfD	HMM	TIGR01860.hmm	822.85|full	nitrogenase vanadium-iron protein. alpha chain	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K22896	
50.6	vnfK	HMM	TIGR02932.hmm	821.85|full	nitrogenase vanadium-iron protein. beta chain	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K22897	
50.7	vnfG	HMM	TIGR02930.hmm	122.35|full	nitrogenase vanadium-iron protein. delta chain	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K22898	
50.8	anfD	HMM	TIGR01861.hmm	873.55|full	nitrogenase iron-iron protein. alpha subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		(?) K02586	
50.9	anfK	HMM	TIGR02931.hmm	853.75|full	nitrogenase iron-iron protein. beta subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		KEGG TOO UNSPECIFIC	
51.1	PitA	HMM	NF033774.1.hmm	800|full	inorganic phosphate transporter PitA	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16322	
52.1	PstS	HMM	K02040.hmm	60.73|domain	phosphate transport system substrate-binding protein	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K02040	
53.1	phoA	HMM	K01077.hmm	71.10|full	Alkaline phosphatase A	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K01077	
53.2	olpA	HMM	K01078.hmm	207.00|domain	Acid phosphatase class C	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K01078	
53.3	3-phytase	HMM	K01083.hmm	116.87|domain	3-phytase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K01083	
53.4	appA	HMM	K01093.hmm	382.13|full	4-phytase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K01093	
53.5	phoD	HMM	K01113.hmm	103.50|full	Alkaline phosphatase D	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K01113	
53.6	PhnD	HMM	K02044.hmm	122.57|full	phosphonate transport system substrate-binding protein	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K02044	
53.7	aphA	HMM	K03788.hmm	84.23|full	Acid phosphatase class B	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K03788	
53.8	phnL	HMM	K05780.hmm	202.37|full	C–P lyase multienzyme complex	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K05780	
53.9	phnK	HMM	K05781.hmm	258.73|domain	C–P lyase multienzyme complex	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K05781	
53.10	PhnM	HMM	TIGR02318.1.hmm	390.5|full	phosphonate metabolism protein PhnM	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K06162	
53.11	PhnJ	HMM	K06163.hmm	326.57|full	alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase 	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K06163	
53.12	phnI	HMM	K06164.hmm	192.27|full	C–P lyase multienzyme complex	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K06164	
53.13	phnH	HMM	K06165.hmm	120.83|domain	C–P lyase multienzyme complex	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K06165	
53.14	phnG	HMM	K06166.hmm	57.77|full	C–P lyase multienzyme complex	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K06166	
53.15	phoX	HMM	K07093.hmm	102.10|domain	Alkaline phosphatase X	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K07093	
53.16	phoN	HMM	K09474.hmm	123.93|full	Acid phosphatase class A	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K09474	
53.17	PhnX	HMM	TIGR01422.2.hmm	220|full	phosphonoacetaldehyde hydrolase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K05306	
53.18	PhnW	HMM	TIGR02326.1.hmm	400.8|full	2-aminoethylphosphonate--pyruvate transaminase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K03430	
53.19	PhnA	HMM	TIGR02335.1.hmm	407.5|full	phosphonoacetate hydrolase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K19670	
53.20	PhnZ	HMM	TIGR03276.1.hmm	214.6|full	phosphonate degradation HD-domain oxygenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K21196	
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
7,1	8,1										
7,2	8,2										
8,1	9,1										
8,2	9,2										
8,3	9,3										
8,4	9,4										
8,5	9,5										
8,6	9,6										
8,7	9,7										
8,8	9,8										
8,9	9,9										
8,1	9,1										
8,11	9,11										
8,12	9,12										
9,1	10,1										
9,2	10,2										
9,3	10,3										
9,4	10,4										
9,5	10,5										
9,6	10,6										
10,1	11,1										
10,2	11,2										
10,3	11,3										
10,4	11,4										
10,5	11,5										
10,6	11,6										
10,7	11,7										
10,8	11,8										
10,9	11,9										
10,1	11,1										
10,11	11,11										
10,12	11,12										
10,13	11,13										
10,14	11,14										
10,15	11,15										
10,16	11,16										
10,17	11,17										
10,18	11,18										
10,19	11,19										
10,2	11,2										
10,21	11,21										
10,22	11,22										
